VMID,VMNAME,VMSIZE,NICID,NICID1,PRIVATEIP
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/CO-NP-EASTUS-IDDBSTNHOSTS-RG/providers/Microsoft.Compute/virtualMachines/UEMCIDDBSTN3NP1,UEMCIDDBSTN3NP1,Standard_B4ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/co-np-eastus-iddbstnhosts-rg/providers/Microsoft.Network/networkInterfaces/uemciddbstn3np1530,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/co-np-eastus-iddbstnhosts-rg/providers/Microsoft.Network/networkInterfaces/uemciddbstn3np1530,10.16.0.142
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/CO-NP-EASTUS-IDDKDR-RG/providers/Microsoft.Compute/virtualMachines/UEMCICD1SCIPNP1,UEMCICD1SCIPNP1,Standard_B2s,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/co-np-eastus-iddkdr-rg/providers/Microsoft.Network/networkInterfaces/uemcicd1scipnp1246,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/co-np-eastus-iddkdr-rg/providers/Microsoft.Network/networkInterfaces/uemcicd1scipnp1246,10.16.1.155
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/CO-NP-EASTUS-IDDVNET-RG/providers/Microsoft.Compute/virtualMachines/UEMPEN1SCIPNP1,UEMPEN1SCIPNP1,Standard_B8ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/co-np-eastus-iddvnet-rg/providers/Microsoft.Network/networkInterfaces/uempen1scipnp1572,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/co-np-eastus-iddvnet-rg/providers/Microsoft.Network/networkInterfaces/uempen1scipnp1572,10.3.20.212
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/RGP-CYBERIAM-CLIENT1-QA1/providers/Microsoft.Compute/virtualMachines/UEMCCICL3QA1,UEMCCICL3QA1,Standard_B4ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl3qa1814,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl3qa1814,10.16.1.146
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/RGP-IDD-SHAREDSERVICES-CS1/providers/Microsoft.Compute/virtualMachines/UEMCDEV1IDDNP1,UEMCDEV1IDDNP1,Standard_B4ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev1iddnp148,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev1iddnp148,10.16.0.147
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/RGP-IDD-SHAREDSERVICES-CS1/providers/Microsoft.Compute/virtualMachines/UEMCDEV2IDDNP1,UEMCDEV2IDDNP1,Standard_B1s,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev2iddnp1599,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev2iddnp1599,10.16.0.148
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/RGP-IDD-SHAREDSERVICES-CS1/providers/Microsoft.Compute/virtualMachines/UEMCDEV3IDDNP1,UEMCDEV3IDDNP1,Standard_B1s,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev3iddnp11,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev3iddnp11,10.16.0.149
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/RGP-IDD-SHAREDSERVICES-CS1/providers/Microsoft.Compute/virtualMachines/UEMCDEV4IDDNP1,UEMCDEV4IDDNP1,Standard_B2s,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev4iddnp127,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev4iddnp127,10.16.0.150
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/RGP-IDD-SHAREDSERVICES-CS1/providers/Microsoft.Compute/virtualMachines/UEMCDEV5IDDNP1,UEMCDEV5IDDNP1,Standard_B2s,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev5iddnp1272,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev5iddnp1272,10.16.0.151
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/RGP-IDD-SHAREDSERVICES-CS1/providers/Microsoft.Compute/virtualMachines/UEMCDEV6IDDNP1,UEMCDEV6IDDNP1,Standard_B1s,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev6iddnp1941,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-idd-sharedservices-cs1/providers/Microsoft.Network/networkInterfaces/uemcdev6iddnp1941,10.16.0.138
