"VMID","VMNAME","VMSIZE","NICID","NICID1","PRIVATEIP"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-IDDBSTNHOSTS-RG/providers/Microsoft.Compute/virtualMachines/UEMCIDDBSTN1P1","UEMCIDDBSTN1P1","Standard_B4ms","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-iddbstnhosts-rg/providers/Microsoft.Network/networkInterfaces/uemciddbstn1p1488","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-iddbstnhosts-rg/providers/Microsoft.Network/networkInterfaces/uemciddbstn1p1488","10.34.0.38"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-MANAGEMENT-RG/providers/Microsoft.Compute/virtualMachines/UEMCGNCP1","UEMCGNCP1","Standard_D4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemcgncp1452","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemcgncp1452","10.33.9.19"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-MANAGEMENT-RG/providers/Microsoft.Compute/virtualMachines/UEMCGNCSQLP1","UEMCGNCSQLP1","Standard_B2ms","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemcgncsqlp1677","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemcgncsqlp1677","10.33.9.33"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-MANAGEMENT-RG/providers/Microsoft.Compute/virtualMachines/UEMCKLTMONP1","UEMCKLTMONP1","Standard_B2s","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemckltmonp1178","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemckltmonp1178","10.33.9.49"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-MANAGEMENT-RG/providers/Microsoft.Compute/virtualMachines/UEMCNEXUSP1","UEMCNEXUSP1","Standard_B2ms","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/UEMCNEXUSP1-nic1","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/UEMCNEXUSP1-nic1","10.33.9.10"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-MANAGEMENT-RG/providers/Microsoft.Compute/virtualMachines/UEMCOMPAP1","UEMCOMPAP1","Standard_B2ms","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemcompap1187","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/uemcompap1187","10.33.9.35"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-MANAGEMENT-RG/providers/Microsoft.Compute/virtualMachines/UEMCSALTP1","UEMCSALTP1","Standard_D4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/UEMCSALTP1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-management-rg/providers/Microsoft.Network/networkInterfaces/UEMCSALTP1-nic","10.33.9.11"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-SHAREDSERVICES-RG/providers/Microsoft.Compute/virtualMachines/UEMCCDIFMSFTP1","UEMCCDIFMSFTP1","Standard_B2ms","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-sharedservices-rg/providers/Microsoft.Network/networkInterfaces/uemccdifmsftp124","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-sharedservices-rg/providers/Microsoft.Network/networkInterfaces/uemccdifmsftp124","10.33.9.38"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-SHAREDSERVICES-RG/providers/Microsoft.Compute/virtualMachines/UEMCKLTDIFP1","UEMCKLTDIFP1","Standard_B4ms","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-sharedservices-rg/providers/Microsoft.Network/networkInterfaces/uemckltdifp1655","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-sharedservices-rg/providers/Microsoft.Network/networkInterfaces/uemckltdifp1655","10.33.9.31"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/CO-P-EASTUS-KLT-SHAREDSERVICES-RG/providers/Microsoft.Compute/virtualMachines/UEMCKLTDIFP2","UEMCKLTDIFP2","Standard_B4ms","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-sharedservices-rg/providers/Microsoft.Network/networkInterfaces/UEMCKLTDIFP2-nic-97572b73a0564dc5bc2442f4185ca488","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/co-p-eastus-klt-sharedservices-rg/providers/Microsoft.Network/networkInterfaces/UEMCKLTDIFP2-nic-97572b73a0564dc5bc2442f4185ca488","10.33.9.54"
